                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9435,                 4.4316,                  4.321,                0.00119,                0.23324,                0.00142,                0.00036,                 4.1115,                 4.6847,                 4.1568,                0.00032,                0.00032,                0.00032
                      2,                 3.6762,                 4.1249,                 4.1426,                0.00122,                 0.2449,                0.00123,                0.00032,                 4.1079,                 4.6288,                 4.1557,             0.00063386,             0.00063386,             0.00063386
                      3,                 3.4236,                 3.7857,                 3.8748,                0.00118,                 0.2449,                0.00118,                0.00033,                 4.0806,                 4.4249,                 4.1456,              0.0009208,              0.0009208,              0.0009208
                      4,                 3.2075,                 3.5123,                 3.6108,                0.00109,                0.22449,                0.00125,                0.00035,                 4.1454,                  4.321,                 4.2144,              0.0011808,              0.0011808,              0.0011808
                      5,                 3.0756,                 3.2394,                 3.4144,                0.00199,                0.11953,                0.00389,                0.00098,                 4.1805,                  4.594,                 4.1876,              0.0014139,              0.0014139,              0.0014139
                      6,                 2.9478,                 3.0954,                 3.2475,                 0.2324,                0.01458,                0.02283,                0.00531,                 3.1813,                 3.8659,                 3.4869,               0.001604,               0.001604,               0.001604
                      7,                 2.9177,                  3.057,                 3.1329,                0.19842,                0.18619,                0.10943,                0.03048,                 2.8529,                 3.2961,                 3.2831,               0.001604,               0.001604,               0.001604
                      8,                 2.7893,                 2.9485,                 3.0332,                0.12023,                0.27405,                0.07322,                0.01849,                 2.7189,                 3.3118,                  3.079,              0.0015248,              0.0015248,              0.0015248
                      9,                 2.7405,                 2.9279,                 3.0174,                0.33812,                0.15452,                0.12536,                 0.0408,                 2.5887,                 3.7461,                 3.0508,              0.0014456,              0.0014456,              0.0014456
                     10,                 2.6414,                 2.8334,                 2.9846,                0.17051,                0.19718,                0.10163,                0.03575,                 2.5871,                 3.1938,                 3.0726,              0.0013664,              0.0013664,              0.0013664
                     11,                 2.6321,                 2.5887,                 2.9183,                0.23885,                0.21283,                0.13113,                0.04787,                 2.4773,                 2.9057,                 2.8566,              0.0012872,              0.0012872,              0.0012872
                     12,                 2.6129,                 2.6041,                 2.8525,                0.32023,                0.33375,                 0.2409,                0.08959,                 2.4571,                 3.0886,                 2.8458,               0.001208,               0.001208,               0.001208
                     13,                 2.5371,                 2.4982,                 2.7922,                0.17582,                0.25073,                0.11604,                0.04206,                 2.5288,                 2.8355,                 2.8382,              0.0011288,              0.0011288,              0.0011288
                     14,                 2.5257,                 2.4665,                 2.7845,                0.30733,                0.32727,                0.20403,                 0.0813,                 2.3059,                 2.5609,                 2.6893,              0.0010496,              0.0010496,              0.0010496
                     15,                 2.4193,                 2.3739,                 2.7227,                0.27631,                0.21283,                 0.1762,                0.07038,                 2.2975,                 2.6793,                 2.6627,              0.0009704,              0.0009704,              0.0009704
                     16,                 2.2549,                 2.5743,                 2.6224,                0.28662,                0.36546,                0.19277,                 0.0678,                 2.2623,                 2.8124,                 2.7121,              0.0008912,              0.0008912,              0.0008912
                     17,                 2.2155,                  2.462,                  2.584,                0.43545,                0.31778,                0.30026,                0.12219,                 2.2208,                 2.6204,                 2.6536,               0.000812,               0.000812,               0.000812
                     18,                 2.1353,                 2.3222,                 2.5107,                 0.3725,                0.20117,                0.24154,                0.09151,                 2.2483,                 2.7993,                 2.6713,              0.0007328,              0.0007328,              0.0007328
                     19,                 2.1659,                 2.3013,                 2.5564,                0.37378,                0.42461,                 0.3327,                0.13749,                 2.1099,                 2.3189,                 2.5535,              0.0006536,              0.0006536,              0.0006536
                     20,                 2.1081,                 2.2193,                 2.4818,                0.46711,                0.46064,                0.37665,                0.17692,                 2.1169,                 2.2621,                 2.5028,              0.0005744,              0.0005744,              0.0005744
                     21,                 2.1304,                 2.2079,                 2.4841,                0.49402,                 0.4519,                0.41561,                0.19802,                 2.0709,                  2.344,                 2.5086,              0.0004952,              0.0004952,              0.0004952
                     22,                 2.1117,                 2.1159,                 2.4734,                  0.525,                0.51603,                0.48542,                0.22813,                 2.0508,                 2.1164,                 2.4648,               0.000416,               0.000416,               0.000416
                     23,                 2.0373,                 2.0506,                 2.4646,                0.53161,                0.52478,                0.47999,                 0.2291,                 2.0237,                 2.0185,                 2.4442,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.9786,                  2.018,                 2.3777,                0.56422,                0.51603,                0.51215,                0.25286,                   1.98,                 2.0458,                 2.4255,              0.0002576,              0.0002576,              0.0002576
                     25,                 2.0041,                 1.9694,                 2.4384,                0.55323,                0.55102,                0.51814,                0.25979,                  1.958,                 1.9541,                 2.4084,              0.0001784,              0.0001784,              0.0001784
